co,route,dir,seq,stop,name_tc,name_en,lat,long
CTB,1,I,1,002403,"跑馬地 (上)","Happy Valley (Upper)",22.264400182091,114.18864188053
CTB,1,I,2,002402,"箕璉坊, 藍塘道","Green Lane, Blue Pool Road",22.265580672091,114.18873205053
CTB,1,I,3,002492,"桂芳街, 成和道","Kwai Fong Street, Sing Woo Road",22.266827182091,114.18744416053
CTB,1,I,4,002493,"山村道, 成和道","Village Road, Sing Woo Road",22.268295142091,114.18647527053
CTB,1,I,5,002453,"景光街","King Kwong Street",22.268939962091,114.18483901053
CTB,1,I,6,002552,"養和醫院, 黃泥涌道","Hong Kong Sanatorium and Hospital, Wong Nai Chung Road",22.270151022091,114.18267105053
CTB,1,I,7,002553,"跑馬地馬場, 黃泥涌道","Happy Valley Racecourse, Wong Nai Chung Road",22.271341142091,114.18075706053
CTB,1,I,8,002467,"立德里, 摩理臣山道","Lap Tak Lane, Morrison Hill Road",22.276064312091,114.18020849053
CTB,1,I,9,002566,"利景酒店, 灣仔道","The Charterhouse, Wan Chai Road",22.277832632091,114.17916549053
CTB,1,I,10,002537,"普樂里, 灣仔道","Bullock Lane, Wan Chai Road",22.276798792091,114.17597252053
CTB,1,I,11,002446,"修頓球場, 軒尼詩道","Southorn Playground, Hennessy Road",22.277433042091,114.17187855053
CTB,1,I,12,002449,"晏頓街, 軒尼詩道","Anton Street, Hennessy Road",22.277666072091,114.16883945053
CTB,1,I,13,001140,"金鐘 - 太古廣場, 金鐘道","Admiralty - Pacific Place, Queensway",22.278070732091,114.16486695053
CTB,1,I,14,001142,"中銀大廈, 金鐘道","Bank of China Tower, Queensway",22.279480102091,114.16214434053
CTB,1,I,15,001054,"置地廣場, 德輔道中","The Landmark, Des Voeux Road Central",22.281316152091,114.15825054053
CTB,1,I,16,001056,"中環街市, 德輔道中","Central Market, Des Voeux Road Central",22.284855172091,114.15539392053
CTB,1,I,17,001175,"急庇利街, 德輔道中","Cleverly Street, Des Voeux Road Central",22.286597682091,114.15157623053
CTB,1,I,18,001027,"中環 (港澳碼頭)","Central (Macau Ferry)",22.288274152091,114.15042248053
CTB,1,O,1,001027,"中環 (港澳碼頭)","Central (Macau Ferry)",22.288274152091,114.15042248053
CTB,1,O,2,001044,"林士街, 德輔道中","Rumsey Street, Des Voeux Road Central",22.286050072091,114.15372775053
CTB,1,O,3,001173,"恒生銀行總行大廈, 德輔道中","Hang Seng Bank Headquarters, Des Voeux Road Central",22.284360062091,114.15596819053
CTB,1,O,4,001049,"德忌利士街, 德輔道中","Douglas Street, Des Voeux Road Central",22.282866402091,114.15717776053
CTB,1,O,5,001050,"歷山大廈, 德輔道中","Alexandra House, Des Voeux Road Central",22.281459032091,114.15830013053
CTB,1,O,6,001052,"遮打花園, 德輔道中","Chater Garden, Des Voeux Road Central",22.280108962091,114.16064635053
CTB,1,O,7,001025,"皇后像廣場, 遮打道","Statue Square, Chater Road",22.281482342091,114.16005494053
CTB,1,O,8,003845,"金鐘 - 金鐘廊, 金鐘道","Admiralty - Queensway Plaza, Queensway",22.278485362091,114.16447808053
CTB,1,O,9,002427,"軍器廠街, 軒尼詩道","Arsenal Street, Hennessy Road",22.277848662091,114.16894462053
CTB,1,O,10,002431,"柯布連道, 軒尼詩道","O'Brien Road, Hennessy Road",22.277694092091,114.17312989053
CTB,1,O,11,002412,"譚臣道, 菲林明道","Thomson Road, Fleming Road",22.277403262091,114.17485950053
CTB,1,O,12,002539,"克街, 灣仔道","Heard Street, Wan Chai Road",22.277181682091,114.17717573053
CTB,1,O,13,002540,"天樂里, 灣仔道","Tin Lok Lane, Wan Chai Road",22.277898752091,114.17916388053
CTB,1,O,14,002548,"樂活道, 黃泥涌道","Broadwood Road, Wong Nai Chung Road",22.274365592091,114.18345343053
CTB,1,O,15,002549,"雅谷大廈, 黃泥涌道","Amigo Mansion, Wong Nai Chung Road",22.272085332091,114.18455363053
CTB,1,O,16,002550,"跑馬地 (下)","Happy Valley (Lower)",22.270337792091,114.18483108053
CTB,1,O,17,002490,"奕蔭街, 成和道","Yik Yam Street, Sing Woo Road",22.269795072091,114.18484684053
CTB,1,O,18,002491,"昇平樓, 成和道","Shing Ping Mansion, Sing Woo Road",22.267818852091,114.18685370053
CTB,1,O,19,002560,"箕璉坊","Green Lane",22.265346372091,114.18855798053
CTB,1,O,20,002403,"跑馬地 (上)","Happy Valley (Upper)",22.264400182091,114.18864188053
CTB,10,I,1,001249,"北角碼頭","North Point Ferry Pier",22.293287872091,114.20149753053
CTB,10,I,2,001279,"琴行街, 英皇道","Kam Hong Street, King's Road",22.291204122091,114.20095851053
CTB,10,I,3,001280,"新都城大廈, 英皇道","Metropole Building, King's Road",22.290876932091,114.19937984053
CTB,10,I,4,001364,"長康街, 英皇道","Cheung Hong Street, King's Road",22.290176642091,114.19594569053
CTB,10,I,5,001283,"炮台山站, 英皇道","Fortress Hill Station, King's Road",22.288146742091,114.19355472053
CTB,10,I,6,001286,"清風街, 英皇道","Tsing Fung Street, King's Road",22.284713662091,114.19291666053
CTB,10,I,7,001214,"皇仁書院, 高士威道","Queen's College, Causeway Road",22.281286912091,114.19065162053
CTB,10,I,8,001215,"香港中央圖書館, 高士威道","Hong Kong Central Library, Causeway Road",22.280082042091,114.18887826053
CTB,10,I,9,002457,"加路連山道, 禮頓道","Caroline Hill Road, Leighton Road",22.277432082091,114.18577553053
CTB,10,I,10,002547,"體育道, 黃泥涌道","Sports Road, Wong Nai Chung Road",22.276258492091,114.18256067053
CTB,10,I,11,002548,"樂活道, 黃泥涌道","Broadwood Road, Wong Nai Chung Road",22.274365592091,114.18345343053
CTB,10,I,12,002550,"跑馬地 (下)","Happy Valley (Lower)",22.270337792091,114.18483108053
CTB,10,I,13,002552,"養和醫院, 黃泥涌道","Hong Kong Sanatorium and Hospital, Wong Nai Chung Road",22.270151022091,114.18267105053
CTB,10,I,14,002458,"紀利華木球會, 禮頓道","Craigengower Cricket Club, Leighton Road",22.276970692091,114.18220985053
CTB,10,I,15,002558,"跑馬地馬場, 摩理臣山道","Happy Valley Racecourse, Morrison Hill Road",22.275441072091,114.18030536053
CTB,10,I,16,002486,"錫克廟, 皇后大道東","Khalsa Diwan Sikh Temple, Queen's Road East",22.274802192091,114.17851714053
CTB,10,I,17,002487,"香港華仁書院, 皇后大道東","Wah Yan College Hong Kong, Queen's Road East",22.274833802091,114.17623997053
CTB,10,I,18,002569,"胡忠大廈, 皇后大道東","Wu Chung House, Queen's Road East",22.274580512091,114.17250642053
CTB,10,I,19,002488,"聯發街, 皇后大道東","Lun Fat Street, Queen's Road East",22.276100292091,114.17002156053
CTB,10,I,20,002489,"太古廣場三座, 皇后大道東","Three Pacific Place, Queen's Road East",22.277274142091,114.16820458053
CTB,10,I,21,001140,"金鐘 - 太古廣場, 金鐘道","Admiralty - Pacific Place, Queensway",22.278070732091,114.16486695053
CTB,10,I,22,001142,"中銀大廈, 金鐘道","Bank of China Tower, Queensway",22.279480102091,114.16214434053
CTB,10,I,23,001054,"置地廣場, 德輔道中","The Landmark, Des Voeux Road Central",22.281316152091,114.15825054053
CTB,10,I,24,001121,"中環街市, 域多利皇后街","Central Market, Queen Victoria Street",22.283815052091,114.15559526053
CTB,10,I,25,001125,"威靈頓街, 皇后大道中","Wellington Street, Queen's Road Central",22.284833042091,114.15330172053
CTB,10,I,26,001126,"荷李活華庭, 皇后大道中","Hollywood Terrace, Queen's Road Central",22.284443202091,114.15115814053
CTB,10,I,27,001127,"上環文娛中心, 皇后大道中","Sheung Wan Civic Centre, Queen's Road Central",22.285970352091,114.14910338053
CTB,10,I,28,001134,"帝后華庭, 皇后大道西","Queen's Terrace, Queen's Road West",22.286525342091,114.14736012053
CTB,10,I,29,001135,"修打蘭街, 皇后大道西","Sutherland Street, Queen's Road West",22.286631802091,114.14534782053
CTB,10,I,30,001129,"東邊街, 皇后大道西","Eastern Street, Queen's Road West",22.286847912091,114.14426832053
CTB,10,I,31,001130,"正街, 皇后大道西","Centre Street, Queen's Road West",22.286844142091,114.14276129053
CTB,10,I,32,001131,"西邊街, 皇后大道西","Western Street, Queen's Road West",22.286915762091,114.14144558053
CTB,10,I,33,001132,"朝光街, 皇后大道西","Chiu Kwong Street, Queen's Road West",22.286757962091,114.13975003053
CTB,10,I,34,001133,"石塘咀市政大廈, 皇后大道西","Shek Tong Tsui Complex, Queen's Road West",22.285969012091,114.13561606053
CTB,10,I,35,001128,"日富里, 皇后大道西","Yat Fu Lane, Queen's Road West",22.286430502091,114.13350308053
CTB,10,I,36,001002,"西寶城, 卑路乍街","The Westwood, Belcher's Street",22.286057592091,114.13262448053
CTB,10,I,37,001003,"山市街, 卑路乍街","Sands Street, Belcher's Street",22.283632272091,114.13063421053
CTB,10,I,38,001005,"聯邦新樓, 卑路乍街","Luen Bong Apartment, Belcher's Street",22.282463392091,114.12760792053
CTB,10,I,39,001164,"加惠民道, 域多利道","Ka Wai Man Road, Victoria Road",22.282072692091,114.12493465053
CTB,10,I,40,001152,"堅尼地城","Kennedy Town",22.282054292091,114.12263756053
CTB,10,O,1,001152,"堅尼地城","Kennedy Town",22.282054292091,114.12263756053
CTB,10,O,2,001163,"西市街, 域多利道","Sai See Street, Victoria Road",22.282182852091,114.12521679053
CTB,10,O,3,001022,"爹核士街, 吉席街","Davis Street, Catchick Street",22.283220932091,114.12755609053
