Company,Route,Origin,Destination,Service Type
KMB,1,"竹園邨","尖沙咀碼頭",Regular
KMB,1,"尖沙咀碼頭","竹園邨",Regular
Citybus,1,"中環 (港澳碼頭)","跑馬地 (上)",Regular
KMB,1A,"中秀茂坪","尖沙咀碼頭",Regular
KMB,1A,"尖沙咀碼頭","中秀茂坪",Regular
Citybus,1M,"會展站","跑馬地／黃泥涌峽",Regular
Citybus,1P,"黃泥涌道 (樂活道)","中環",Regular
KMB,2,"尖沙咀碼頭","長沙灣(蘇屋邨)",Regular
KMB,2,"長沙灣(蘇屋邨)","尖沙咀碼頭",Regular
Citybus,2,"嘉亨灣","中環 (港澳碼頭)",Regular
KMB,2A,"樂華","美孚",Regular
KMB,2A,"美孚","樂華",Regular
Citybus,2A,"耀東邨","會展站",Regular
KMB,2B,"竹園邨","長沙灣",Regular
KMB,2B,"長沙灣","竹園邨",Regular
KMB,2D,"澤安邨","黃大仙",Regular
KMB,2D,"黃大仙","澤安邨",Regular
KMB,2E,"九龍城碼頭","白田(北)",Regular
KMB,2E,"白田(北)","九龍城碼頭",Regular
KMB,2F,"慈雲山(北)","長沙灣",Regular
KMB,2F,"慈雲山(北)","長沙灣",Special Service
KMB,2F,"長沙灣","慈雲山(北)",Regular
KMB,2P,"長沙灣","慈雲山(北)",Regular
KMB,2X,"彩福","美孚",Regular
KMB,2X,"美孚","彩福",Regular
Citybus,2X,"嘉亨灣","會展站",Regular
Citybus,3A,"中環 (天星碼頭)","摩星嶺",Regular
KMB,3B,"慈雲山(中)","紅磡(紅鸞道)",Regular
KMB,3B,"紅磡(紅鸞道)","慈雲山(中)",Regular
KMB,3B,"紅磡(紅鸞道)","慈雲山(中)",Special Service
KMB,3C,"慈雲山(北)","中港碼頭",Regular
KMB,3C,"中港碼頭","慈雲山(北)",Regular
KMB,3D,"慈雲山(中)","觀塘(裕民坊)",Regular
KMB,3D,"慈雲山(南)","觀塘(裕民坊)",Special Service
KMB,3D,"正康樓","觀塘(裕民坊)",Special Service
KMB,3D,"觀塘(裕民坊)","慈雲山(中)",Regular
KMB,3D,"觀塘(裕民坊)","慈雲山(南)",Special Service
KMB,3M,"慈雲山(北)","彩雲",Regular
KMB,3M,"彩雲","慈雲山(北)",Regular
KMB,3M,"彩雲","慈雲山(南)",Special Service
KMB,3S,"鑽石山站","鑽石山墳場(循環線)",Regular
KMB,3X,"慈雲山(北)","中港碼頭",Regular
KMB,3X,"慈雲山(北)","中港碼頭",Special Service
KMB,3X,"佐敦(西九龍站)","慈雲山(北)",Regular
Citybus,4,"黃竹坑／華富 (南)","中環",Regular
Citybus,4X,"華富 (南)","中環 (交易廣場)",Regular
KMB,5,"富山邨","尖沙咀碼頭",Regular
KMB,5,"尖沙咀碼頭","富山邨",Regular
KMB,5A,"啟德(啟晴邨)","尖沙咀碼頭",Regular
KMB,5A,"尖沙咀碼頭","啟德(啟晴邨)",Regular
Citybus,5B,"摩星嶺／堅尼地城","銅鑼灣／香港大球場",Regular
KMB,5C,"慈雲山(中)","尖沙咀碼頭",Regular
KMB,5C,"毓華街","尖沙咀碼頭",Special Service
KMB,5C,"尖沙咀碼頭","慈雲山(中)",Regular
KMB,5C,"尖沙咀碼頭","慈雲山(中)",Special Service
KMB,5D,"德福花園","紅磡(循環線)",Regular
KMB,5M,"啟德(德朗邨)","九龍灣站(循環線)",Regular
KMB,5P,"慈雲山(中)","尖沙咀碼頭",Regular
KMB,5P,"尖沙咀碼頭","慈雲山(中)",Regular
KMB,5R,"啟德郵輪碼頭","觀塘 (apm) (循環線)",Regular
KMB,5R,"啟德郵輪碼頭","觀塘 (apm)",Special Service
KMB,5R,"牛頭角站","啟德郵輪碼頭",Special Service
Citybus,5X,"堅尼地城","銅鑼灣 (威非路道)",Regular
KMB,6,"尖沙咀碼頭","荔枝角",Regular
KMB,6,"荔枝角","尖沙咀碼頭",Regular
Citybus,6,"中環 (交易廣場)","赤柱市場",Regular
Citybus,6A,"中環 (交易廣場)","赤柱炮台 (閘口)",Regular
KMB,6C,"九龍城碼頭","美孚",Regular
KMB,6C,"美孚","九龍城碼頭",Regular
KMB,6D,"牛頭角","美孚",Regular
KMB,6D,"美孚","牛頭角",Regular
KMB,6E,"長沙灣(蘇屋邨)","鯉魚門邨",Regular
KMB,6E,"鯉魚門邨","長沙灣(蘇屋邨)",Regular
KMB,6F,"九龍城碼頭","長沙灣(麗閣邨)",Regular
KMB,6F,"長沙灣(麗閣邨)","九龍城碼頭",Regular
KMB,6P,"長沙灣(蘇屋邨)","鯉魚門邨",Regular
KMB,6P,"鯉魚門邨","長沙灣(蘇屋邨)",Regular
KMB,6R,"美孚(美荔道)","昂船洲軍營(循環線)",Regular
KMB,6X,"盛德街","美孚",Regular
KMB,6X,"美孚","九龍城碼頭",Regular
Citybus,6X,"中環 (交易廣場)","赤柱市場",Regular
KMB,7,"尖沙咀碼頭","樂富",Regular
KMB,7,"樂富","尖沙咀碼頭",Regular
Citybus,7,"石排灣","中環碼頭",Regular
KMB,7B,"紅磡(紅鸞道)","樂富",Regular
KMB,7B,"樂富","紅磡(紅鸞道)",Regular
KMB,7M,"樂富","竹園邨(循環線)",Regular
KMB,8,"尖沙咀碼頭","九龍站",Regular
KMB,8,"九龍站","尖沙咀碼頭",Regular
Citybus,8,"杏花邨","會展站",Regular
KMB,8A,"黃埔花園","尖沙咀(循環線)",Regular
Citybus,8H,"小西灣 (藍灣半島)","東華東院",Regular
KMB,8P,"海逸豪園","尖沙咀(循環線)",Regular
KMB,8P,"海逸豪園","尖沙咀漢口道",Special Service
Citybus,8P,"小西灣 (藍灣半島)","會展站",Regular
Citybus,8S,"跑馬地馬場","小西灣 (藍灣半島)",Regular
Citybus,8X,"小西灣 (藍灣半島)","跑馬地 (上)",Regular
KMB,9,"彩福","尖沙咀東(麼地道)",Regular
KMB,9,"尖沙咀東(麼地道)","彩福",Regular
Citybus,9,"筲箕灣","石澳",Regular
Citybus,9C,"筲箕灣","歌連臣角",Regular
KMB,10,"彩雲","大角咀(循環線)",Regular
Citybus,10,"堅尼地城","北角碼頭",Regular
KMB,11,"鑽石山站","九龍站",Regular
KMB,11,"九龍站","鑽石山站",Regular
Citybus,11,"中環碼頭","渣甸山",Regular
KMB,11B,"觀塘(翠屏道)","九龍城碼頭",Regular
KMB,11B,"九龍城碼頭","觀塘(翠屏道)",Regular
KMB,11C,"竹園邨","上秀茂坪",Regular
KMB,11C,"上秀茂坪","竹園邨",Regular
KMB,11D,"樂富","觀塘碼頭",Regular
KMB,11D,"觀塘碼頭","樂富",Regular
KMB,11K,"竹園邨","紅磡站",Regular
KMB,11K,"紅磡站","竹園邨",Regular
KMB,11X,"安泰(北)","紅磡站",Regular
KMB,11X,"紅磡站","安泰(北)",Regular
KMB,12,"海麗邨","尖沙咀東(麼地道)",Regular
KMB,12,"尖沙咀東(麼地道)","海麗邨",Regular
Citybus,12,"中環3號碼頭","羅便臣道／柏道",Regular
KMB,12A,"黃埔花園","長沙灣(海達邨)",Regular
KMB,12A,"長沙灣(海達邨)","黃埔花園",Regular
Citybus,12A,"金鐘 (添馬街)","麥當勞道",Regular
Citybus,12M,"金鐘 (添馬街)","柏道",Regular
KMB,12P,"海麗邨","紅磡站",Regular
Citybus,13,"金鐘 (添馬街)","旭龢道 (半山區)",Regular
KMB,13D,"寶達","維港灣",Regular
KMB,13D,"寶達","維港灣",Special Service
KMB,13D,"維港灣","寶達",Regular
KMB,13M,"觀塘(雅麗道)","寶達(循環線)",Regular
KMB,13M,"寶達","觀塘站",Special Service
KMB,13P,"寶達","長沙灣(麗閣邨)",Regular
KMB,13X,"寶達","尖沙咀東",Regular
KMB,13X,"寶達","尖沙咀東",Special Service
KMB,13X,"彩褔","尖沙咀東",Special Service
KMB,13X,"寶達","尖沙咀東",Special Service
KMB,13X,"尖沙咀東","寶達",Regular
KMB,13X,"尖沙咀東","寶達",Special Service
KMB,14,"鯉魚門邨","中港碼頭",Regular
KMB,14,"中港碼頭","鯉魚門邨",Regular
Citybus,14,"嘉亨灣","赤柱炮台 (閘口)／馬坑",Regular
KMB,14B,"牛頭角","藍田(廣田邨)",Regular
KMB,14B,"樂華","藍田(廣田邨)",Special Service
KMB,14B,"藍田(廣田邨)","牛頭角",Regular
KMB,14D,"油塘","彩虹",Regular
KMB,14D,"藍田(廣田邨)","彩虹",Special Service
KMB,14D,"彩虹","油塘",Regular
KMB,14H,"油塘","順利(循環線)",Regular
KMB,14S,"油塘","將軍澳墳場(循環線)",Regular
KMB,14X,"油塘(崇德圍)","尖沙咀(循環線)",Regular
KMB,15,"平田","紅磡(紅鸞道)",Regular
KMB,15,"紅磡(紅鸞道)","平田",Regular
Citybus,15,"中環","山頂",Regular
KMB,15A,"平田","慈雲山(北)",Regular
KMB,15A,"慈雲山(北)","平田",Regular
Citybus,15B,"灣仔 (會展新翼)","山頂",Regular
Citybus,15C,"中環 (香港摩天輪)","花園道",Regular
KMB,15X,"藍田(廣田邨)","紅磡站",Regular
KMB,15X,"紅磡站","藍田(廣田邨)",Regular
KMB,16,"藍田(廣田邨)","旺角(柏景灣)",Regular
KMB,16,"平田","旺角(柏景灣)",Special Service
KMB,16,"旺角(柏景灣)","藍田(廣田邨)",Regular
KMB,16M,"觀塘(裕民坊)","藍田(康華苑)(循環線)",Regular
